gene,threshold,JSD,size_le,size_he
ENSG00000000003.15,0.00347,0.1272642848607758,9.0,816.0
ENSG00000000005.6,0.00452,0.15693103910417422,815.0,10.0
ENSG00000000419.13,0.008301,0.21897749200613092,9.0,816.0
ENSG00000000457.14,0.004819,0.13060667455885872,30.0,795.0
ENSG00000000460.17,0.001442,0.11914454938738953,10.0,815.0
ENSG00000000938.13,0.001011,0.16983373416096365,18.0,807.0
ENSG00000000971.16,0.002828,0.18294775678709868,11.0,814.0
ENSG00000001036.14,0.066956,0.1829477567870986,814.0,11.0
ENSG00000001084.13,0.005323,0.1704493901388279,9.0,816.0
ENSG00000001167.14,0.08725,0.10420519055264922,806.0,19.0
ENSG00000001460.18,0.016882,0.155028712377486,802.0,23.0
ENSG00000001461.17,0.005395,0.1272642848607758,9.0,816.0
ENSG00000001497.18,0.014625,0.1371608125495281,20.0,805.0
ENSG00000001561.7,0.005328,0.11674686785952904,119.0,706.0
ENSG00000001617.12,0.009885,0.1227061198851597,19.0,806.0
ENSG00000001626.16,0.005979,0.11975367669211162,806.0,19.0
ENSG00000001629.10,0.011621,0.17044939013882793,9.0,816.0
ENSG00000001630.17,2.7e-05,0.1272642848607758,9.0,816.0
ENSG00000001631.16,0.002235,0.11634481125255755,115.0,710.0
ENSG00000002016.18,0.001307,0.15693103910417422,10.0,815.0
ENSG00000002079.14,0.001574,0.11914454960741966,815.0,10.0
ENSG00000002330.14,0.001738,0.12428646917987703,75.0,750.0
ENSG00000002549.12,0.034187,0.13225348117179078,78.0,747.0
ENSG00000002586.20,0.018015,0.1704493901388279,9.0,816.0
ENSG00000002586.20_PAR_Y,,-inf,,
ENSG00000002587.10,0.000601,0.17024555660013346,12.0,813.0
ENSG00000002726.21,9e-06,0.21897749200613092,9.0,816.0
ENSG00000002745.13,0.000833,0.12388641565813203,816.0,9.0
ENSG00000002746.15,1.3e-05,0.1302833289641448,13.0,812.0
ENSG00000002822.15,2.7e-05,0.159812328073913,13.0,812.0
ENSG00000002834.18,0.040535,0.24560775818604588,10.0,815.0
ENSG00000002919.15,0.005217,0.21897749200613092,9.0,816.0
ENSG00000002933.9,0.007752,0.11329203219812092,150.0,675.0
ENSG00000003056.8,0.006173,0.1302833289641448,13.0,812.0
ENSG00000003096.14,0.000356,0.11015559319818412,51.0,774.0
ENSG00000003137.8,0.000466,0.11841910136864106,40.0,785.0
ENSG00000003147.19,0.095031,0.15849837398294614,809.0,16.0
ENSG00000003249.15,0.056487,0.10487645385972946,769.0,56.0
ENSG00000003393.15,0.004703,0.1704493901388279,9.0,816.0
ENSG00000003400.15,0.000945,0.21897749200613092,9.0,816.0
ENSG00000003402.20,0.014433,0.1987544888770491,10.0,815.0
ENSG00000003436.16,0.051874,0.15341938369265917,805.0,20.0
ENSG00000003509.16,0.002609,0.15693103910417422,10.0,815.0
ENSG00000003756.17,0.00848,0.1272642848607758,9.0,816.0
ENSG00000003987.14,0.000161,0.14031578632294597,27.0,798.0
ENSG00000003989.18,0.001868,0.10988665730258307,68.0,757.0
ENSG00000004059.11,0.020503,0.1406030865174991,15.0,810.0
ENSG00000004139.14,0.000253,0.1302833289641448,13.0,812.0
ENSG00000004142.12,0.026417,0.14368838586723567,15.0,810.0
ENSG00000004399.13,0.201781,0.11670178051430766,784.0,41.0
ENSG00000004455.17,0.041855,0.13071461342375687,55.0,770.0
ENSG00000004468.13,0.000106,0.14216223873887107,19.0,806.0
ENSG00000004478.8,0.032774,0.2060055560978195,12.0,813.0
ENSG00000004487.17,0.025306,0.1302833289641448,13.0,812.0
ENSG00000004534.15,0.012015,0.1302833289641448,13.0,812.0
ENSG00000004660.15,0.023133,0.13698915579061818,801.0,24.0
ENSG00000004700.16,0.058758,0.15361403831887316,815.0,10.0
ENSG00000004766.17,0.005344,0.16267335634596647,19.0,806.0
ENSG00000004776.13,0.0105,0.1272642848607758,816.0,9.0
ENSG00000004777.18,0.001825,0.137246783089665,55.0,770.0
ENSG00000004779.10,0.066206,0.13116761356813364,791.0,34.0
ENSG00000004799.8,0.282542,0.12388641565813205,816.0,9.0
ENSG00000004809.14,0.001544,0.13749929653801968,813.0,12.0
ENSG00000004838.14,8.3e-05,0.2189774920061309,9.0,816.0
ENSG00000004846.16,0.003613,0.14294773010059597,814.0,11.0
ENSG00000004848.8,5e-06,0.10789752941372319,120.0,705.0
ENSG00000004864.14,0.050436,0.15108936972229858,811.0,14.0
ENSG00000004866.22,0.005221,0.15693103910417422,10.0,815.0
ENSG00000004897.12,0.011831,0.17044939013882793,9.0,816.0
ENSG00000004939.15,0.00014,0.10711251244824978,795.0,30.0
ENSG00000004948.16,1.4e-05,0.1315728617244023,38.0,787.0
ENSG00000004961.15,0.006239,0.13181164190314393,17.0,808.0
ENSG00000004975.12,0.0063,0.21121234451723409,14.0,811.0
ENSG00000005001.10,0.000702,0.11066000692375585,17.0,808.0
ENSG00000005007.13,0.025548,0.1272642848607758,9.0,816.0
ENSG00000005020.13,0.005217,0.13756868679221634,51.0,774.0
ENSG00000005022.6,0.232563,0.136815858384113,797.0,28.0
ENSG00000005059.16,0.031343,0.15981232828064057,812.0,13.0
ENSG00000005073.6,9.5e-05,0.10747431531519341,128.0,697.0
ENSG00000005075.15,0.005799,0.12388641565813205,9.0,816.0
ENSG00000005100.13,0.004336,0.21897749200613092,9.0,816.0
ENSG00000005102.14,3.2e-05,0.18739655913335862,16.0,809.0
ENSG00000005108.16,0.000235,0.15693103910417422,10.0,815.0
ENSG00000005156.12,0.008109,0.15420741529033344,17.0,808.0
ENSG00000005175.10,0.006772,0.21897749200613092,9.0,816.0
ENSG00000005187.12,0.000186,0.17044939013882793,9.0,816.0
ENSG00000005189.20,0.018985,0.14368838586723567,810.0,15.0
ENSG00000005194.15,0.012787,0.1532155505965339,34.0,791.0
ENSG00000005206.17,0.008281,0.1314569947477022,65.0,760.0
ENSG00000005238.20,0.005745,0.12524828168443777,41.0,784.0
ENSG00000005243.10,0.001002,0.11914454938738953,10.0,815.0
ENSG00000005249.13,0.001497,0.1704493901388279,9.0,816.0
ENSG00000005302.19,0.04619,0.12108477415105795,811.0,14.0
ENSG00000005339.15,0.020742,0.20580774526540435,14.0,811.0
ENSG00000005379.17,0.000996,0.14295609971419315,30.0,795.0
ENSG00000005381.8,0.000662,0.13416603513107284,801.0,24.0
ENSG00000005421.9,0.004207,0.12108477415105798,811.0,14.0
ENSG00000005436.14,0.00504,0.1318661530194039,42.0,783.0
ENSG00000005448.17,0.001612,0.1704493901388279,9.0,816.0
ENSG00000005469.12,0.001834,0.1287969180213041,17.0,808.0
ENSG00000005471.19,0.000154,0.13181164190314393,17.0,808.0
ENSG00000005483.21,0.012722,0.1272642848607758,9.0,816.0
