gene,threshold,JSD,size_le,size_he
ENSG00000000003.15,0.016998,0.10540237952321638,253.0,572.0
ENSG00000000005.6,9.2e-05,0.09720389040764096,379.0,446.0
ENSG00000000419.13,0.017925,0.10201319558599653,248.0,577.0
ENSG00000000457.14,0.01167,0.1006483374103371,251.0,574.0
ENSG00000000460.17,0.004903,0.09766271709707558,248.0,577.0
ENSG00000000938.13,0.003134,0.10631318241933593,248.0,577.0
ENSG00000000971.16,0.017881,0.10221941318471438,258.0,567.0
ENSG00000001036.14,0.021277,0.09606525137350333,319.0,506.0
ENSG00000001084.13,0.014897,0.10401766486112252,262.0,563.0
ENSG00000001167.14,0.036888,0.09962581069361356,544.0,281.0
ENSG00000001460.18,0.005336,0.10391799959424064,261.0,564.0
ENSG00000001461.17,0.019519,0.1017002090376035,279.0,546.0
ENSG00000001497.18,0.027118,0.10306479155362809,256.0,569.0
ENSG00000001561.7,0.009413,0.10230161473964636,263.0,562.0
ENSG00000001617.12,0.036882,0.10548751048013177,248.0,577.0
ENSG00000001626.16,6.8e-05,0.10001812468571028,261.0,564.0
ENSG00000001629.10,0.035905,0.10006461608958687,257.0,568.0
ENSG00000001630.17,0.000716,0.10571826931444356,270.0,555.0
ENSG00000001631.16,0.002884,0.10629345592333701,248.0,577.0
ENSG00000002016.18,0.003958,0.09975250253601976,263.0,562.0
ENSG00000002079.14,6.1e-05,0.10106926843937722,255.0,570.0
ENSG00000002330.14,0.003439,0.10292400376854655,287.0,538.0
ENSG00000002549.12,0.056096,0.10796412106677698,253.0,572.0
ENSG00000002586.20,0.09915,0.09693741283212301,445.0,380.0
ENSG00000002586.20_PAR_Y,,-inf,,
ENSG00000002587.10,0.002137,0.1012939962444798,312.0,513.0
ENSG00000002726.21,0.000555,0.10016377008144356,533.0,292.0
ENSG00000002745.13,2.2e-05,0.10038783441986762,285.0,540.0
ENSG00000002746.15,0.000147,0.09849893014654929,248.0,577.0
ENSG00000002822.15,0.000114,0.10993642360319827,252.0,573.0
ENSG00000002834.18,0.113423,0.11234856858356455,248.0,577.0
ENSG00000002919.15,0.013032,0.10282899781107649,248.0,577.0
ENSG00000002933.9,0.011895,0.10726586470323818,274.0,551.0
ENSG00000003056.8,0.034065,0.10275799161440317,268.0,557.0
ENSG00000003096.14,0.001337,0.09663678734816497,259.0,566.0
ENSG00000003137.8,0.001444,0.10241060609729005,275.0,550.0
ENSG00000003147.19,0.021364,0.10467275612996228,272.0,553.0
ENSG00000003249.15,0.014831,0.09715870835279505,254.0,571.0
ENSG00000003393.15,0.014296,0.09988424252715586,262.0,563.0
ENSG00000003400.15,0.003786,0.10906248338074825,248.0,577.0
ENSG00000003402.20,0.035808,0.10538945511805126,253.0,572.0
ENSG00000003436.16,0.005591,0.10007958521312244,277.0,548.0
ENSG00000003509.16,0.005846,0.10249401808243498,255.0,570.0
ENSG00000003756.17,0.026111,0.10743806592849167,253.0,572.0
ENSG00000003987.14,0.000512,0.10761224275382855,248.0,577.0
ENSG00000003989.18,0.021341,0.09859543337238422,275.0,550.0
ENSG00000004059.11,0.042741,0.10108700538172219,248.0,577.0
ENSG00000004139.14,0.001426,0.10731017121900885,248.0,577.0
ENSG00000004142.12,0.078116,0.0984120547844859,512.0,313.0
ENSG00000004399.13,0.068156,0.10015416957125536,260.0,565.0
ENSG00000004455.17,0.058777,0.10717947629999744,248.0,577.0
ENSG00000004468.13,0.000779,0.10925363206798867,251.0,574.0
ENSG00000004478.8,0.1354,0.0988865978168813,366.0,459.0
ENSG00000004487.17,0.049741,0.10405946322361383,251.0,574.0
ENSG00000004534.15,0.029788,0.10578958197273079,248.0,577.0
ENSG00000004660.15,0.004672,0.10193309645183597,248.0,577.0
ENSG00000004700.16,0.019457,0.09911542378022453,524.0,301.0
ENSG00000004766.17,0.014007,0.10541748139572232,248.0,577.0
ENSG00000004776.13,0.000321,0.09793734414665481,288.0,537.0
ENSG00000004777.18,0.003912,0.10717947634221814,248.0,577.0
ENSG00000004779.10,0.03879,0.09921822769018082,574.0,251.0
ENSG00000004799.8,0.012934,0.09762708522932051,370.0,455.0
ENSG00000004809.14,2.2e-05,0.1035288829592444,270.0,555.0
ENSG00000004838.14,0.002503,0.10564229010345949,269.0,556.0
ENSG00000004846.16,0.000127,0.10057777843590965,463.0,362.0
ENSG00000004848.8,2.4e-05,0.10057549201543742,257.0,568.0
ENSG00000004864.14,0.018312,0.10123377617585375,504.0,321.0
ENSG00000004866.22,0.011994,0.10312126922617816,272.0,553.0
ENSG00000004897.12,0.032846,0.10055104808412335,268.0,557.0
ENSG00000004939.15,1.4e-05,0.09744950984417376,425.0,400.0
ENSG00000004948.16,8.8e-05,0.09763169864948285,282.0,543.0
ENSG00000004961.15,0.01626,0.09820172297357849,565.0,260.0
ENSG00000004975.12,0.013419,0.1091737181352896,248.0,577.0
ENSG00000005001.10,0.004709,0.09789486871804992,254.0,571.0
ENSG00000005007.13,0.064562,0.10431159318265618,254.0,571.0
ENSG00000005020.13,0.012312,0.10647209188483714,261.0,564.0
ENSG00000005022.6,0.14478,0.09859874452209688,577.0,248.0
ENSG00000005059.16,0.010023,0.1050702682976132,250.0,575.0
ENSG00000005073.6,0.000247,0.10021712954439112,329.0,496.0
ENSG00000005075.15,0.013445,0.09944152336269997,254.0,571.0
ENSG00000005100.13,0.020259,0.10029905187298482,570.0,255.0
ENSG00000005102.14,0.000859,0.10181639403708902,299.0,526.0
ENSG00000005108.16,0.002004,0.09833119558243253,299.0,526.0
ENSG00000005156.12,0.039721,0.10269958146807123,576.0,249.0
ENSG00000005175.10,0.017576,0.100094051865061,255.0,570.0
ENSG00000005187.12,0.000897,0.10278910679888262,248.0,577.0
ENSG00000005189.20,0.003962,0.09778524625787446,289.0,536.0
ENSG00000005194.15,0.019523,0.0989200116858443,266.0,559.0
ENSG00000005206.17,0.013669,0.10278910679888265,248.0,577.0
ENSG00000005238.20,0.01045,0.10369549970558403,248.0,577.0
ENSG00000005243.10,0.006118,0.097785579429094,298.0,527.0
ENSG00000005249.13,0.0148,0.09806781026421688,251.0,574.0
ENSG00000005302.19,0.016184,0.10021551970052217,323.0,502.0
ENSG00000005339.15,0.066434,0.1023509687534824,298.0,527.0
ENSG00000005379.17,0.005865,0.10315040737771175,256.0,569.0
ENSG00000005381.8,7.4e-05,0.09926687450978426,364.0,461.0
